engineId,timeCycles,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,failure,initCycles
1,192,643.54,1601.41,1427.2,551.25,2388.32,9033.22,48.25,520.08,2388.32,8110.93,8.5113,396,38.48,22.9649,1,191
2,220,642.87,1600.76,1406.68,552.92,2388.09,9068.44,47.54,520.77,2388.11,8148.15,8.4123,392,38.86,23.3541,0,219
3,179,643.51,1604.8,1428.23,551.91,2388.14,9197.52,48.09,519.53,2388.2,8255.34,8.5056,398,38.4,22.9562,1,178
4,189,644.53,1612.11,1432.55,551.93,2388.13,9198.32,48.15,519.84,2388.16,8259.42,8.5246,398,38.44,23.1006,1,188
5,220,642.63,1591.54,1412.16,553.48,2388.13,9102.11,47.59,521.68,2388.11,8173.86,8.4664,395,38.78,23.1496,0,219
6,188,643.47,1600.63,1434.92,550.7,2388.34,9027.96,48.21,518.98,2388.34,8102.82,8.5358,397,38.42,22.9577,1,187
7,220,642.89,1596.6,1416.42,553.2,2388.14,9073.62,47.75,520.9,2388.16,8145.22,8.4495,395,38.72,23.1952,0,219
8,150,643.87,1602.84,1432.31,551.08,2388.27,9046.16,48.24,519.57,2388.26,8121.27,8.5509,394,38.24,23.051,1,149
9,201,644.04,1595.36,1428.43,552.3,2388.5,9239.76,48.11,520.28,2388.56,8289.63,8.5156,399,38.45,23.0284,1,200
10,220,643.46,1604.91,1422.76,551.73,2388.25,9115.15,47.95,520.23,2388.25,8181.11,8.5182,396,38.53,23.2187,0,219
11,220,643.18,1599.36,1418.16,552.28,2388.11,9114.67,47.92,520.7,2388.09,8191.42,8.4637,396,38.6,23.1006,0,219
12,170,643.31,1601.76,1434.94,551.1,2388.32,9050.4,48.08,519.55,2388.29,8122.87,8.5213,395,38.64,23.0102,1,169
13,163,644.26,1610.89,1430.32,550.99,2388.15,9153.32,48.22,519.76,2388.16,8211.76,8.5477,397,38.53,23.1291,1,162
14,180,643.49,1597.94,1427.6,551.29,2388.18,9129.74,48.32,520.56,2388.23,8196.18,8.5237,397,38.36,22.9824,1,179
15,207,643.65,1599.27,1433.72,551.59,2388.33,9039.93,48.3,519.67,2388.31,8122.39,8.5381,396,38.43,23.0375,1,206
16,209,643.61,1601.47,1429.68,551.17,2388.25,9060.94,48.28,519.44,2388.26,8132.25,8.5258,397,38.35,23.1505,1,208
17,220,642.43,1593.96,1410.74,553.1,2388.06,9101.47,47.39,521.32,2388.1,8177.87,8.4338,394,38.9,23.2437,0,219
18,195,643.93,1601,1428.08,551.43,2388.44,9224.53,48.01,519.44,2388.39,8282.5,8.5132,398,38.5,23.0304,1,194
19,158,643.34,1605.58,1433.97,550.84,2388.3,9051.89,48.23,519.22,2388.33,8117.14,8.5343,396,38.28,22.9405,1,157
20,220,643.41,1594.88,1426.76,552.72,2388.26,9077.09,47.99,519.72,2388.23,8144.47,8.5325,396,38.64,23.1548,0,219
21,195,643.87,1606.47,1432.84,551.79,2388.18,9161.51,48.04,520.26,2388.19,8224.87,8.5197,399,38.44,22.986,1,194
22,202,643.64,1609.56,1429.98,551.02,2388.3,9053.41,48.16,519.31,2388.3,8130.05,8.5361,398,38.43,22.9965,1,201
23,168,643.32,1604.16,1431.69,551.26,2388.26,9059.37,48.19,519.71,2388.36,8127.93,8.5169,397,38.32,22.9071,1,167
24,147,643.79,1601.33,1430.87,550.78,2388.3,9043.96,48.19,519.3,2388.28,8119.58,8.5374,398,38.58,23.0309,1,146
25,220,643.35,1601.93,1425.47,551.49,2388.15,9125.1,47.98,519.78,2388.21,8191.87,8.5385,396,38.53,23.0558,0,219
26,199,643.51,1599.25,1432.5,551.79,2388.19,9159.51,48.05,519.2,2388.2,8222.42,8.5347,398,38.27,22.9867,1,198
27,156,643.76,1606.45,1429.06,551.51,2388.17,9141.14,48.26,519.43,2388.15,8210.07,8.5259,397,38.65,23.0772,1,155
28,165,644.01,1600.61,1431.57,551.78,2388.19,9087.32,48.04,519.31,2388.2,8166.05,8.5311,396,38.37,23.1508,1,164
29,163,643.98,1598.93,1436.41,551.64,2388.23,9042.66,48.17,519.75,2388.26,8121.38,8.5641,396,38.29,23.0583,1,162
30,194,643.34,1604.03,1441.49,551.1,2388.32,9050,48.17,519.22,2388.3,8118.21,8.5298,396,38.24,23.1925,1,193
31,220,643.98,1595.32,1429.25,552.19,2388.21,9047.58,47.93,519.77,2388.23,8128.88,8.4865,394,38.7,23.1928,0,219
32,191,643.35,1605.39,1435.15,551.45,2388.18,9089.9,48.53,519.65,2388.21,8156.17,8.5372,396,38.3,23.1225,1,190
33,200,643.93,1605.51,1433.49,551.28,2388.23,9050.89,48.28,519.81,2388.31,8127.7,8.5146,397,38.42,22.9862,1,199
